,country,Region,Surface area (km2),Population in thousands (2017),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Population, female","Population, male"
27,Ireland,NorthernEurope,69797,4762,283716,26.3,60513.6,4.8,17.7,77.4,7.6,129315,76997,52318,28967,0.3,7.8,2.8,5.3,50,84,114,53.33,76.98,7.02,35.01,27.18,70.18,6.02,6.91,16.61,14.48,50.79,1.97,76.98,40.64,59.56,62.21,81.38,103.52,100,41859.25303,54.10677358,154.38504,153944513,1.82946E+11,2.31219E+11,105.079586,1.012198042,7.184383273,121.0425885,0.340531561,84,80.4,82.15609756,2426140,2381248
28,Israel,WesternAsia,22072,8322,299413,2.5,37129.4,1,17.9,81,5.9,60571,65803,-5232,13642,1.6,7.8,3.6,5.8,174,313,119,74.78,77.74,10.87,36.52,61.71,81.01,3.45,3.54,28.98,28.27,71.94,1.39,77.74,28.44,54.11,65.39,81.35,94.47,100,30793.64855,65.75526288,912.898,6993888,44080200000,28429900000,106.3806971,2.318986835,7.407464087,28.68432157,0.244210526,84.6,80.6,82.55121951,4385803,4327497
29,Italy,SouthernEurope,302073,59360,1821580,0.7,30462.4,3.5,27.1,69.4,11.4,461529,404578,56951,29348,-0.1,9.2,3.9,4.1,359,1539,103,66.31,83.7,12.39,36.38,51.57,82.6,2.69,3.56,37.18,28.06,82.64,1.21,83.7,21.49,53.89,73.94,76.24,71.83,100,29414.34629,56.18840008,1437.245062,26288001,1.1212E+11,1.14804E+11,108.7149018,2.619870241,8.840259165,30.73373332,1.226533166,85.2,80.8,82.94634146,31121471,29415238
30,Japan,EasternAsia,377930,127484,4383076,1.2,34628.7,3.7,26.5,69.8,3,644932,606924,38008,135608,-0.1,10.2,2.3,3.6,404,1114,146,78.63,85.28,12.68,46.81,41.01,31.91,2.21,2.75,45.15,36.32,72.76,1.37,85.28,27.56,57.62,89.92,47.83,102.52,100,39433.50799,66.45546292,10684.574,123898000,1.81994E+11,1.91028E+11,103.962704,4.174530252,10.93593314,17.75185227,0.467211747,87.26,81.09,84.0997561,64853783,61932014
31,Jordan,WesternAsia,89318,9702,37517,2.4,4940.1,2,17.8,80.2,13.4,7509,19207,-11698,-3332,4.9,7.5,2.6,-99,113,7,47,71.92,59.22,7.96,47.76,85.73,88.42,6.48,7.23,15.43,13.84,76.63,1.3,59.22,12.51,36.83,50.19,56.19,42.27,100,2894.827527,63.12277762,158.95506,3381677,6389295775,4626619718,119.3298693,-10.56590326,8.119250834,35.12049641,3.323894476,76.052,72.628,74.292,4829775,4949398
32,Lebanon,WesternAsia,10452,6082,50149,1.5,8571.4,8.2,22.4,69.4,7,3402,20409,-17007,-8146,6,6.4,2.4,2.6,87,7,55,64.28,61.65,13.95,36.15,85.11,69.39,5.36,6.27,18.67,15.94,126.66,0.79,61.65,30.89,46.91,46.92,60.23,53.61,100,5665.793232,50.00213601,53.387,2879528,15125597884,13823773942,118.9993072,-22.83356483,8.195544034,21.88032454,4.321352183,80.786,77.031,78.833,3386334,3425539
33,Lithuania,NorthernEurope,65286,2890,41402,1.8,14383.7,8.7,24.5,66.8,9.2,25025,27501,-2476,-977,-1.3,6.6,4.3,4.6,26,74,98,68.74,46.73,14.19,28,34.27,25.04,3.9,4.14,25.62,24.18,89.18,1.12,46.73,13.25,30.69,36.15,40.08,51.67,100,14388.7945,51.58048857,0.472,1069268,9462919104,5901919958,112.6424898,0.969448932,6.457564235,73.60578661,3.722888623,80.5,70.7,75.4804878,1523077,1305326
34,Malaysia,South-easternAsia,330323,31624,296284,5,9768.4,11.8,27.3,60.9,3.3,189414,168375,21039,8960,1.8,4.2,1.3,5,1272,3738,118,65.99,40.24,9.53,39.4,67.08,-79.43,4.07,4.05,24.6,24.66,72.87,1.37,40.24,11.19,26.32,42.44,20.87,73.34,100,8653.817541,44.46220955,1455.209824,58711937,37022387968,42022247442,119.6050658,2.80919895,3.859398142,70.04552188,3.871201158,78.008,73.903,75.828,15104524,16000504
35,Mexico,CentralAmerica,1964375,129163,1140724,2.5,8980.9,13.4,25.2,61.3,4.1,373883,387064,-13181,-33216,1.4,6.3,2.1,5.3,1162,8514,62,70.11,29.81,6.94,41.66,66.74,60.74,6.85,6.31,14.6,15.85,86.58,1.16,29.81,8.37,19.53,28.06,25.8,60.08,100,7901.164712,51.46924127,928.8355098,58537832,27463459761,37265060551,130.1978025,-1.77023701,5.516541377,37.68984096,6.04145724,77.827,72.046,74.947,63752822,61024502
36,Netherlands,WesternEurope,41542,17036,750318,2,44332.1,2.2,15.9,81.9,5.6,511714,420969,90745,65129,0.3,10.9,3.4,5.5,40,2447,178,82.5,72.47,8.52,33.9,27.62,61.87,5.38,5.93,18.6,16.86,56.24,1.78,72.47,32.45,53.29,55.95,82.27,86.52,100,45289.30488,54.19074121,5855.480476,42763443,1.74354E+11,1.66614E+11,111.0420628,10.81391378,10.10083482,83.39176802,1.381458714,83.4,80.2,81.76097561,8607750,8523546
